rank,mpid,venue_name,n_weeks,total_shares,mean_shares_per_wk,std_shares_per_wk,cv,mean_trades_per_wk,mean_trade_size,norm_mean,scaled_mean,scaled_std
1,UBSA,UBS ATS,53,278065765,5246523.9,2495744.5,0.4757,84069.3,62.4,1.0,5.0,1.6649
2,INCR,INTELLIGENT CROSS LLC,53,257600227,4860381.6,1964146.3,0.4041,82870.8,58.7,0.9264,4.7424,1.3103
3,SGMT,SIGMA X2,53,153709259,2900174.7,1604856.5,0.5534,50276.8,57.7,0.5528,3.4347,1.0706
4,EBXL,LEVEL ATS,53,133416276,2517288.2,1248622.6,0.496,55041.5,45.7,0.4798,3.1793,0.833
5,PURE,PURESTREAM,53,108139263,2040363.5,809597.6,0.3968,29041.9,70.3,0.3889,2.8611,0.5401
6,MLIX,INSTINCT X,53,100275698,1891994.3,1163188.5,0.6148,22904.2,82.6,0.3606,2.7622,0.776
7,JPMX,JPM-X,53,77097469,1454669.2,634678.1,0.4363,16755.4,86.8,0.2773,2.4704,0.4234
8,BIDS,BIDS ATS,53,70641453,1332857.6,750198.9,0.5628,3369.4,395.6,0.254,2.3892,0.5005
9,LATS,THE BARCLAYS ATS,53,65406987,1234094.1,758887.1,0.6149,11232.8,109.9,0.2352,2.3233,0.5063
10,MSTX,MS TRAJECTORY CROSS (ATS-1),53,65002766,1226467.3,457518.6,0.373,14920.5,82.2,0.2338,2.3182,0.3052
11,IATS,IBKR ATS,53,63401272,1196250.4,503458.5,0.4209,14607.5,81.9,0.228,2.298,0.3359
12,XSTM,CROSSSTREAM,53,51391272,969646.6,540700.7,0.5576,3846.2,252.1,0.1848,2.1469,0.3607
13,KCGM,VIRTU MATCHIT ATS,53,49581023,935491,510597.6,0.5458,12336.9,75.8,0.1783,2.1241,0.3406
14,CGXS,ONECHRONOS,53,49040016,925283.3,274626.2,0.2968,9370.3,98.7,0.1764,2.1173,0.1832
15,ICBX,CBX,53,40600615,766049.3,423917.6,0.5534,10143.3,75.5,0.146,2.011,0.2828
16,MSPL,MS POOL (ATS-4),35,40282400,1150925.7,780930.4,0.6785,6084.3,189.2,0.2194,2.2678,0.521
17,JPBX,JPB-X,53,36083417,680819.2,203811.3,0.2994,5329.6,127.7,0.1298,1.9542,0.136
18,ITGP,POSIT,53,35110713,662466.3,430330.7,0.6496,2823.1,234.7,0.1263,1.9419,0.2871
19,BNPX,BNPP CORTEX ATS,53,32416912,611639.8,342972.8,0.5607,3417.6,179.0,0.1166,1.908,0.2288
20,ONEC,CITI-ONE ATS,53,17302546,326463.1,150220.5,0.4601,3175.5,102.8,0.0622,1.7178,0.1002
21,BLUE,BOATS,53,16437565,310142.7,183835.2,0.5927,11454.2,27.1,0.0591,1.7069,0.1226
22,MSRP,MS RPOOL (ATS-6),53,7475589,141048.8,61738.9,0.4377,1562.9,90.2,0.0269,1.5941,0.0412
23,BLKX,INSTINET BLOCKCROSS,53,7064019,133283.4,124275.6,0.9324,109.7,1214.8,0.0254,1.5889,0.0829
24,LQNA,LIQUIDNET H2O ATS,53,6680800,126052.8,98612.8,0.7823,133.5,944.0,0.024,1.5841,0.0658
25,CODA,CODA,53,5877021,110887.2,79653.1,0.7183,1613.1,68.7,0.0211,1.574,0.0531
26,ALPX,ALPHAX US,53,3963376,74780.7,50831.3,0.6797,737.4,101.4,0.0143,1.5499,0.0339
27,LMNX,LUMINEX ATS,29,1560704,53817.4,89076.6,1.6552,2.7,20009.0,0.0103,1.5359,0.0594
28,IEOS,IBKR EOS ATS,53,1318736,24881.8,17440.6,0.7009,601.3,41.4,0.0047,1.5166,0.0116
29,LQNT,LIQUIDNET NEGOTIATION ATS,22,933300,42422.7,51958.0,1.2248,2.1,20289.1,0.0081,1.5283,0.0347
30,BOSS,"BRUCE MARKETS, LLC.",22,529345,24061.1,30903.6,1.2844,1428.5,16.8,0.0046,1.5161,0.0206
31,MOON,MOON ATS,38,238742,6282.7,12008.9,1.9114,401.4,15.7,0.0012,1.5042,0.008
32,STFX,STIFEL X,53,179534,3387.4,3332.0,0.9836,124.8,27.1,0.0006,1.5023,0.0022
33,BOSS,BRUCE ATS,8,5351,668.9,555.8,0.831,16.4,40.8,0.0001,1.5004,0.0004
